Название;Стоимость в долларах;Стоимость в рублях;Количество в наличии;Ссылка
★ Shadow Daggers | Rust Coat (Battle-Scarred);13761.000000;1;https://steamcommunity.com/market/listings/730/★ Shadow Daggers | Rust Coat (Battle-Scarred);$96.08;139.000000
★ Navaja Knife | Ultraviolet (Field-Tested);13761.000000;1;https://steamcommunity.com/market/listings/730/★ Navaja Knife | Ultraviolet (Field-Tested);$98.81;139.000000
★ Broken Fang Gloves | Unhinged (Field-Tested);10395.000000;1;https://steamcommunity.com/market/listings/730/★ Broken Fang Gloves | Unhinged (Field-Tested);$71.30;105.000000
★ Hydra Gloves | Rattler (Field-Tested);8217.000000;1;https://steamcommunity.com/market/listings/730/★ Hydra Gloves | Rattler (Field-Tested);$53.86; 83.000000
Glock-18 | Gamma Doppler (Minimal Wear);7821.000000;1;https://steamcommunity.com/market/listings/730/Glock-18 | Gamma Doppler (Minimal Wear);$51.65; 79.000000
★ Hydra Gloves | Mangrove (Field-Tested);7821.000000;1;https://steamcommunity.com/market/listings/730/★ Hydra Gloves | Mangrove (Field-Tested);$54.48; 79.000000
★ Driver Gloves | Racing Green (Field-Tested);7425.000000;1;https://steamcommunity.com/market/listings/730/★ Driver Gloves | Racing Green (Field-Tested);$51.65; 75.000000
Desert Eagle | Printstream (Field-Tested);5445.000000;1;https://steamcommunity.com/market/listings/730/Desert Eagle | Printstream (Field-Tested);$37.99; 55.000000
AK-47 | The Empress (Field-Tested);4752.000000;1;https://steamcommunity.com/market/listings/730/AK-47 | The Empress (Field-Tested);$31.81; 48.000000
USP-S | Monster Mashup (Minimal Wear);4059.000000;1;https://steamcommunity.com/market/listings/730/USP-S | Monster Mashup (Minimal Wear);$26.88; 41.000000
AWP | Hyper Beast (Well-Worn);3564.000000;1;https://steamcommunity.com/market/listings/730/AWP | Hyper Beast (Well-Worn);$23.40; 36.000000
M4A4 | Temukau (Field-Tested);3564.000000;1;https://steamcommunity.com/market/listings/730/M4A4 | Temukau (Field-Tested);$23.93; 36.000000
M4A1-S | Hyper Beast (Field-Tested);3465.000000;1;https://steamcommunity.com/market/listings/730/M4A1-S | Hyper Beast (Field-Tested);$21.86; 35.000000
AWP | Neo-Noir (Field-Tested);3366.000000;1;https://steamcommunity.com/market/listings/730/AWP | Neo-Noir (Field-Tested);$22.67; 34.000000
AK-47 | Ice Coaled (Factory New);3168.000000;1;https://steamcommunity.com/market/listings/730/AK-47 | Ice Coaled (Factory New);$22.00; 32.000000
M4A1-S | Player Two (Field-Tested);3168.000000;1;https://steamcommunity.com/market/listings/730/M4A1-S | Player Two (Field-Tested);$23.11; 32.000000
M4A1-S | Decimator (Minimal Wear);3168.000000;1;https://steamcommunity.com/market/listings/730/M4A1-S | Decimator (Minimal Wear);$20.95; 32.000000
AK-47 | Asiimov (Battle-Scarred);3069.000000;1;https://steamcommunity.com/market/listings/730/AK-47 | Asiimov (Battle-Scarred);$21.18; 31.000000
